OG0007653	Breviolum34574	K08798
OG0004649	Breviolum383700	K14826
OG0005065	Breviolum74534	K02032
OG0002867	Breviolum62812	K16726
OG0001867	Breviolum53444	K13216
OG0000385	Breviolum200045	K15655
OG0004775	Breviolum8584	K06027
OG0004732	Breviolum274024	K23330
OG0004786	Breviolum82715	K06949
OG0000678	Breviolum99991	K11152
OG0003771	Breviolum264257	K10260
OG0003224	Breviolum53824	K18477
OG0001172	Breviolum4586	K11143
OG0000012	Breviolum71523	K03283
OG0005455	Breviolum207448	K14648
OG0000383	Breviolum76741	K06180
OG0002601	Breviolum28081	K10569
OG0004012	Breviolum191676	K19603
OG0001093	Breviolum206105	K01135
OG0001621	Breviolum95184	K00797
OG0000653	Breviolum179568	K11000
OG0000233	Breviolum195016	K12460
OG0003782	Breviolum31600	K09645
OG0003252	Breviolum95981	K19673
OG0000371	Breviolum74643	K09485
OG0001783	Breviolum344025	K01869
OG0007501	Breviolum63095	K11744
OG0002159	Breviolum62149	K12524
OG0002694	Breviolum49447	K00889
OG0001318	Breviolum49101	K19709
OG0004370	Breviolum49396	K00930
OG0000004	Breviolum39552	K13412
OG0001042	Breviolum345979	K00958
OG0004411	Breviolum386757	K15976
OG0001147	Breviolum71184	K16608
OG0000239	Breviolum90559	K15261
OG0000142	Breviolum89519	K15377
OG0000025	Breviolum186507	K07937
OG0003601	Breviolum68496	K10838
OG0001082	Breviolum383379	K13989
OG0007080	Breviolum306250	K10407
OG0006616	Breviolum63033	K20180
OG0000474	Breviolum93064	K04607
OG0007342	Breviolum17183	K25166
OG0004135	Breviolum397373	K12951
OG0001555	Breviolum59355	K10419
OG0001201	Breviolum8809	K02924
OG0005603	Breviolum344758	K13412
OG0005076	Breviolum36697	K18649
OG0000685	Breviolum385672	K15015
OG0004745	Breviolum214106	K14165
OG0002174	Breviolum53876	K14641
OG0004172	Breviolum268087	K17964
OG0003248	Breviolum271993	K09578
OG0000695	Breviolum93146	K00845
OG0007603	Breviolum93840	K08869
OG0002339	Breviolum38082	K11323
OG0000781	Breviolum32326	K12857
OG0004344	Breviolum69750	K05849
OG0000584	Breviolum321240	K02540
OG0007529	Breviolum63415	K02183
OG0004865	Breviolum267081	K17609
OG0000371	Breviolum266108	K04043
OG0001458	Breviolum51016	K23499
OG0004153	Breviolum32116	K01056
OG0006421	Breviolum344836	K08150
OG0002358	Breviolum47269	K13989
OG0001417	Breviolum7839	K10661
OG0000526	Breviolum92336	K01610
OG0004264	Breviolum207672	K10765
OG0001971	Breviolum226779	K11188
OG0000239	Breviolum351083	K24070
OG0000817	Breviolum70753	K02865
OG0001920	Breviolum86668	K00898
OG0001535	Breviolum230343	K14396
OG0000556	Breviolum309713	K04856
OG0006576	Breviolum347493	K22522
OG0004479	Breviolum170435	K14442
OG0007716	Breviolum63100	K00485
OG0000727	Breviolum236897	K02940
OG0000446	Breviolum32373	K07976
OG0001567	Breviolum62465	K01363
OG0004056	Breviolum95914	K12483
OG0003309	Breviolum344274	K03189
OG0000177	Breviolum1836	K10808
OG0002726	Breviolum50770	K01178
OG0000573	Breviolum79769	K10407
OG0000646	Breviolum30645	K23531
OG0000792	Breviolum74033	K06180
OG0000700	Breviolum92685	K03083
OG0000221	Breviolum33588	K16675
OG0005735	Breviolum227338	K20607
OG0000567	Breviolum69814	K15920
OG0004851	Breviolum383942	K09539
OG0004737	Breviolum311128	K05766
OG0002563	Breviolum211334	K08153
OG0001003	Breviolum400094	K10380
OG0001091	Breviolum50046	K00464
OG0003298	Breviolum306130	K25616
OG0000525	Breviolum397695	K23901
OG0001740	Breviolum43548	K03762
OG0003351	Breviolum72399	K03797
OG0002105	Breviolum175265	K00753
OG0001591	Breviolum88349	K25656
OG0000773	Breviolum356737	K25698
OG0003855	Breviolum303296	K01768
OG0006184	Breviolum305990	K25439
OG0002965	Breviolum352794	K15264
OG0004091	Breviolum32057	K14457
OG0000427	Breviolum365986	K08139
OG0007094	Breviolum384800	K10380
OG0000085	Breviolum53585	K17943
OG0000411	Breviolum62966	K13525
OG0000083	Breviolum95820	K17341
OG0002297	Breviolum65556	K10380
OG0006387	Breviolum22459	K03109
OG0000025	Breviolum196917	K07937
OG0002434	Breviolum27552	K10477
OG0006550	Breviolum19286	K08739
OG0001392	Breviolum95239	K15631
OG0003859	Breviolum184777	K03265
OG0003779	Breviolum32103	K03675
OG0002268	Breviolum46901	K18203
OG0005936	Breviolum95106	K20718
OG0001162	Breviolum171871	K03254
OG0000180	Breviolum173841	K07374
OG0002245	Breviolum345575	K04990
OG0000094	Breviolum77312	K03234
OG0007312	Breviolum46800	K10635
OG0006611	Breviolum167942	K12604
OG0000306	Breviolum196656	K20093
OG0001058	Breviolum346236	K02903
OG0000703	Breviolum344360	K11703
OG0007366	Breviolum344946	K13412
OG0007247	Breviolum353450	K17616
OG0002594	Breviolum229718	K04982
OG0004092	Breviolum7172	K10380
OG0001466	Breviolum33657	K19600
OG0000163	Breviolum49377	K15654
OG0004179	Breviolum168398	K12655
OG0001510	Breviolum20643	K17686
OG0000337	Breviolum259680	K02918
OG0003166	Breviolum33270	K13649
OG0005668	Breviolum37459	K13095
OG0000673	Breviolum70454	K00108
OG0000013	Breviolum66257	K10325
OG0000707	Breviolum98829	K17943
OG0007450	Breviolum93106	K02183
OG0005331	Breviolum383779	K15272
OG0003764	Breviolum29713	K19619
OG0002478	Breviolum352729	K11323
OG0003379	Breviolum89498	K00981
OG0000400	Breviolum30850	K04886
OG0007636	Breviolum88440	K04986
OG0000226	Breviolum68448	K01803
OG0006433	Breviolum62761	K08857
OG0006322	Breviolum229205	K13616
OG0000533	Breviolum327342	K00326
OG0005012	Breviolum27557	K00876
OG0001459	Breviolum48509	K09560
OG0000274	Breviolum49976	K05015
OG0000402	Breviolum69702	K03102
OG0002103	Breviolum344283	K11086
OG0006259	Breviolum225882	K17609
OG0002365	Breviolum69880	K03363
OG0000447	Breviolum20930	K00325
OG0000212	Breviolum70489	K11000
OG0005197	Breviolum31453	K09838
OG0002878	Breviolum27927	K03627
OG0006840	Breviolum93543	K16602
OG0000281	Breviolum265227	K10380
OG0005640	Breviolum264338	K05681
OG0003792	Breviolum28091	K15986
OG0002372	Breviolum388000	K17339
OG0007436	Breviolum166322	K00710
OG0006999	Breviolum9163	K20101
OG0000345	Breviolum387021	K10413
OG0000847	Breviolum30530	K17285
OG0005190	Breviolum57976	K08683
OG0003559	Breviolum70917	K13210
OG0006046	Breviolum57339	K17972
OG0002188	Breviolum68513	K17725
OG0005363	Breviolum62782	K06901
OG0002117	Breviolum386840	K07407
OG0000134	Breviolum183841	K01769
OG0006364	Breviolum68875	K01402
OG0000022	Breviolum95472	K03768
OG0000937	Breviolum78495	K00472
OG0006687	Breviolum167598	K20353
OG0002805	Breviolum34617	K17839
OG0006338	Breviolum17004	K01493
OG0003420	Breviolum269640	K08794
OG0002652	Breviolum388006	K02993
OG0000309	Breviolum89223	K22762
OG0000574	Breviolum59244	K04955
OG0001748	Breviolum89747	K00485
OG0006828	Breviolum83767	K15920
OG0004862	Breviolum62104	K15538
OG0003270	Breviolum306643	K00249
OG0001986	Breviolum270126	K09584
OG0006646	Breviolum389870	K02183
OG0004218	Breviolum277812	K19941
OG0007099	Breviolum18842	K02687
OG0004301	Breviolum351724	K09839
OG0000013	Breviolum66854	K10380
OG0000137	Breviolum220013	K03696
OG0002233	Breviolum349284	K01057
OG0002171	Breviolum246565	K14325
OG0006068	Breviolum305666	K00545
OG0000642	Breviolum26872	K23437
OG0004604	Breviolum268669	K03327
OG0000439	Breviolum20038	K17086
OG0001577	Breviolum1904	K04461
OG0000290	Breviolum199976	K16726
OG0001252	Breviolum347712	K10380
OG0002605	Breviolum27670	K00789
OG0002671	Breviolum36191	K12385
OG0000025	Breviolum50877	K07937
OG0004722	Breviolum265136	K08246
OG0002131	Breviolum68587	K24392
OG0003352	Breviolum348948	K15259
OG0000686	Breviolum249994	K07342
OG0003964	Breviolum99045	K17278
OG0002341	Breviolum69634	K13720
OG0000175	Breviolum55611	K07889
OG0000109	Breviolum71333	K09584
OG0001243	Breviolum94630	K10370
OG0000358	Breviolum2309	K10967
OG0000497	Breviolum18411	K00029
OG0007539	Breviolum69881	K18584
OG0002054	Breviolum43442	K02935
OG0007098	Breviolum78443	K01934
OG0006325	Breviolum268934	K20295
OG0006423	Breviolum82006	K01178
OG0005169	Breviolum82448	K10455
OG0000357	Breviolum6380	K24205
OG0000230	Breviolum272485	K00434
OG0001885	Breviolum69698	K03686
OG0001254	Breviolum402733	K10455
OG0006157	Breviolum386838	K00856
OG0005910	Breviolum90268	K08073
OG0003630	Breviolum48727	K03661
OG0005643	Breviolum51845	K07874
OG0005390	Breviolum397816	K14963
OG0000162	Breviolum23699	K10457
OG0005295	Breviolum6730	K10739
OG0003179	Breviolum33366	K03574
OG0003363	Breviolum166880	K13289
OG0001219	Breviolum264196	K04905
OG0001156	Breviolum305089	K01176
OG0001118	Breviolum353261	K17680
OG0007355	Breviolum411233	K12410
OG0001056	Breviolum346383	K17710
OG0004913	Breviolum63684	K12132
OG0004607	Breviolum92789	K09645
OG0004093	Breviolum33340	K00700
OG0002940	Breviolum88422	K12392
OG0002576	Breviolum68446	K03215
OG0006043	Breviolum88517	K03931
OG0004098	Breviolum165758	K10380
OG0003278	Breviolum202608	K05849
OG0004966	Breviolum207215	K21813
OG0000347	Breviolum48819	K03686
OG0007465	Breviolum348543	K11068
OG0002871	Breviolum192809	K10626
OG0007688	Breviolum80540	K08850
OG0000505	Breviolum220637	K12614
OG0001612	Breviolum98834	K08153
OG0002711	Breviolum240161	K09571
OG0004088	Breviolum94627	K01193
OG0004823	Breviolum187599	K07889
OG0002451	Breviolum42533	K02871
OG0002909	Breviolum62794	K04886
OG0000692	Breviolum360486	K26236
OG0002395	Breviolum350573	K05592
OG0007682	Breviolum266577	K01768
OG0005771	Breviolum267444	K17619
OG0005475	Breviolum50252	K02952
OG0005268	Breviolum44381	K00088
OG0001623	Breviolum173892	K00799
OG0000332	Breviolum351885	K20032
OG0000714	Breviolum94646	K21989
OG0005652	Breviolum58974	K01599
OG0003168	Breviolum169178	K12580
OG0004619	Breviolum266537	K08495
OG0006015	Breviolum393600	K09660
OG0002006	Breviolum69014	K03470
OG0000064	Breviolum182616	K00507
OG0000813	Breviolum93284	K14326
OG0000385	Breviolum78369	K04788
OG0007218	Breviolum166012	K10799
OG0006648	Breviolum95776	K03686
OG0002913	Breviolum50824	K09486
OG0005604	Breviolum74711	K02016
OG0000568	Breviolum98993	K00850
OG0006577	Breviolum349210	K08582
OG0000668	Breviolum16784	K05389
OG0001774	Breviolum401864	K00993
OG0006239	Breviolum62050	K13342
OG0000851	Breviolum309855	K12198
OG0003751	Breviolum78421	K07555
OG0006456	Breviolum1828	K14803
OG0001157	Breviolum182796	K03654
OG0006573	Breviolum33214	K00111
OG0004747	Breviolum385215	K14638
OG0000252	Breviolum394471	K17469
OG0000006	Breviolum33465	K00665
OG0004494	Breviolum27445	K14829
OG0001771	Breviolum2247	K00799
OG0001824	Breviolum264093	K05539
OG0001718	Breviolum18937	K08826
OG0002589	Breviolum2238	K22378
OG0006750	Breviolum4311	K01517
OG0000266	Breviolum264352	K01201
OG0000148	Breviolum388060	K01382
OG0004811	Breviolum27730	K03538
OG0001769	Breviolum227248	K23025
OG0000063	Breviolum94673	K00545
OG0000879	Breviolum166485	K22698
OG0005564	Breviolum33116	K12132
OG0006527	Breviolum52638	K03575
OG0004679	Breviolum303680	K08963
OG0004039	Breviolum181812	K06640
OG0002635	Breviolum264806	K04515
OG0002488	Breviolum208997	K22763
OG0007464	Breviolum33212	K01507
OG0002429	Breviolum175955	K19525
OG0000184	Breviolum49127	K02183
OG0000776	Breviolum194272	K05658
OG0005949	Breviolum57146	K03327
OG0002274	Breviolum6844	K08582
OG0000822	Breviolum24198	K09580
OG0002757	Breviolum68541	K14803
OG0003836	Breviolum228434	K17943
OG0006355	Breviolum59774	K01768
OG0006610	Breviolum35506	K07917
OG0006353	Breviolum264745	K00587
OG0000085	Breviolum346749	K17943
OG0003608	Breviolum95794	K22390
OG0001117	Breviolum207936	K15015
OG0006620	Breviolum70823	K19760
OG0001540	Breviolum54716	K11703
OG0007540	Breviolum354843	K03019
OG0000022	Breviolum356369	K01802
OG0000177	Breviolum33253	K10808
OG0001849	Breviolum24956	K02927
OG0005813	Breviolum67770	K21989
OG0002279	Breviolum70786	K14338
OG0000057	Breviolum383487	K20717
OG0004425	Breviolum81980	K13181
OG0000025	Breviolum395474	K07939
OG0004511	Breviolum308904	K15109
OG0002132	Breviolum37686	K14338
OG0004428	Breviolum19285	K07507
OG0000333	Breviolum382827	K01624
OG0007379	Breviolum304683	K02739
OG0001903	Breviolum81498	K06911
OG0000021	Breviolum82015	K22763
OG0003607	Breviolum95139	K12343
OG0000207	Breviolum58072	K12492
OG0005513	Breviolum351465	K03671
OG0006859	Breviolum4137	K09839
OG0006695	Breviolum228445	K21814
OG0000259	Breviolum174799	K14079
OG0000600	Breviolum58691	K13412
OG0004759	Breviolum73834	K24761
OG0007287	Breviolum8712	K15272
OG0002190	Breviolum57195	K17964
OG0007577	Breviolum168778	K25439
OG0001507	Breviolum93512	K08824
OG0000375	Breviolum67825	K09624
OG0006480	Breviolum86437	K16462
OG0003143	Breviolum384727	K03847
OG0007190	Breviolum26239	K05857
OG0001764	Breviolum192584	K12845
OG0004459	Breviolum94674	K08994
OG0002457	Breviolum404748	K01586
OG0002167	Breviolum343638	K08900
OG0000264	Breviolum30025	K13979
OG0005207	Breviolum40522	K20301
OG0000411	Breviolum45032	K13525
OG0005985	Breviolum384460	K23899
OG0001189	Breviolum61164	K12663
OG0000651	Breviolum71019	K01179
OG0001838	Breviolum384307	K00359
OG0004551	Breviolum69430	K08737
OG0000640	Breviolum61980	K02471
OG0005782	Breviolum95471	K01662
OG0001157	Breviolum33081	K03654
OG0000765	Breviolum63745	K08057
OG0003470	Breviolum169847	K05643
OG0001683	Breviolum83205	K16726
OG0007356	Breviolum67252	K10949
OG0000739	Breviolum95957	K07516
OG0005061	Breviolum92989	K17914
OG0000442	Breviolum81580	K24512
OG0003008	Breviolum93427	K10884
OG0000138	Breviolum17898	K19041
OG0002720	Breviolum62094	K23029
OG0000013	Breviolum219029	K25805
OG0004953	Breviolum75364	K20827
OG0004343	Breviolum89826	K16900
OG0001508	Breviolum24182	K01279
OG0000543	Breviolum2414	K02989
OG0001431	Breviolum33536	K05531
OG0005746	Breviolum1998	K08288
OG0000402	Breviolum51356	K14411
OG0000058	Breviolum71138	K04648
OG0004850	Breviolum92692	K05292
OG0002384	Breviolum7085	K11085
OG0007713	Breviolum53677	K04348
OG0000171	Breviolum74771	K01188
OG0001889	Breviolum70985	K14588
OG0000098	Breviolum389535	K09571
OG0003490	Breviolum210990	K00249
OG0002183	Breviolum279371	K19626
OG0000830	Breviolum346014	K16055
OG0002849	Breviolum387162	K07874
OG0000400	Breviolum347732	K04885
OG0007151	Breviolum30940	K00253
OG0005597	Breviolum50955	K11816
OG0001020	Breviolum99673	K08489
OG0001443	Breviolum9126	K10798
OG0007343	Breviolum69728	K15664
OG0000188	Breviolum39506	K01530
OG0006938	Breviolum2113	K20133
OG0001031	Breviolum306972	K00058
OG0006445	Breviolum227227	K03032
OG0000373	Breviolum57655	K03235
OG0006391	Breviolum318873	K22071
OG0005546	Breviolum183847	K09571
OG0000004	Breviolum375284	K13412
OG0000862	Breviolum174631	K19360
OG0004346	Breviolum68404	K00700
OG0005180	Breviolum180903	K10590
OG0002148	Breviolum398068	K16264
OG0002109	Breviolum234592	K11412
OG0004350	Breviolum70298	K12878
OG0007127	Breviolum21056	K19942
OG0006201	Breviolum7108	K16061
OG0001060	Breviolum8515	K07126
OG0001071	Breviolum51180	K23539
OG0006192	Breviolum6524	K10380
OG0000048	Breviolum31887	K17341
OG0003507	Breviolum89281	K02293
OG0005726	Breviolum87857	K06258
OG0000069	Breviolum180738	K10408
OG0005566	Breviolum308624	K10862
OG0001288	Breviolum28396	K08794
OG0002507	Breviolum389511	K11434
OG0002071	Breviolum207163	K17943
OG0000012	Breviolum68542	K03283
OG0002945	Breviolum384990	K14652
OG0006001	Breviolum62458	K02899
OG0004739	Breviolum70466	K00231
OG0000070	Breviolum74085	K10380
OG0004658	Breviolum346180	K02183
OG0007018	Breviolum266119	K13525
OG0005038	Breviolum69250	K08900
OG0001503	Breviolum2215	K11187
OG0006482	Breviolum268791	K19613
OG0002632	Breviolum19809	K23727
OG0007487	Breviolum19204	K05609
OG0002218	Breviolum53563	K10599
OG0000433	Breviolum81157	K21989
OG0001854	Breviolum19588	K13210
OG0001751	Breviolum199981	K02685
OG0000314	Breviolum229608	K00871
OG0000593	Breviolum344152	K02971
OG0001464	Breviolum38076	K04460
OG0004663	Breviolum69170	K12451
OG0000322	Breviolum283467	K03767
OG0005918	Breviolum350819	K01507
OG0005819	Breviolum74710	K14326
OG0003857	Breviolum395059	K02939
OG0001726	Breviolum31439	K00587
OG0001876	Breviolum63537	K06413
OG0000909	Breviolum384295	K06173
OG0002870	Breviolum232355	K10398
OG0004345	Breviolum346949	K12833
OG0005504	Breviolum42257	K03357
OG0000897	Breviolum226254	K00771
OG0005912	Breviolum205874	K05632
OG0000304	Breviolum303487	K08827
OG0004930	Breviolum383533	K03238
OG0005072	Breviolum27296	K10843
OG0007626	Breviolum230148	K25587
OG0003975	Breviolum206779	K11754
OG0002098	Breviolum57443	K12824
OG0000008	Breviolum43562	K03686
OG0000053	Breviolum28568	K02218
OG0000567	Breviolum349158	K05349
OG0000526	Breviolum63449	K01610
OG0004806	Breviolum385070	K12873
OG0002575	Breviolum69084	K03841
OG0000695	Breviolum237188	K00845
OG0000513	Breviolum96434	K08906
OG0007598	Breviolum387966	K13800
OG0004214	Breviolum302563	K14963
OG0000536	Breviolum62009	K14755
OG0002770	Breviolum53100	K00995
OG0000190	Breviolum206841	K04459
OG0006395	Breviolum264137	K15433
OG0000008	Breviolum387207	K09512
OG0003744	Breviolum61234	K14655
OG0002266	Breviolum394377	K13026
OG0007552	Breviolum92794	K03118
OG0000468	Breviolum199169	K00574
OG0002201	Breviolum347155	K02950
OG0002180	Breviolum98146	K10380
OG0000945	Breviolum226338	K16462
OG0004951	Breviolum167624	K04428
OG0002437	Breviolum70845	K06861
OG0005951	Breviolum205932	K10393
OG0001269	Breviolum207924	K10949
OG0000411	Breviolum245248	K13525
OG0006256	Breviolum226578	K01070
OG0005619	Breviolum72504	K03026
OG0002472	Breviolum177445	K01408
OG0001059	Breviolum71062	K08832
OG0001140	Breviolum317445	K24175
OG0003689	Breviolum49037	K10669
OG0006366	Breviolum6148	K15335
OG0000906	Breviolum251896	K02889
OG0005863	Breviolum243288	K00626
OG0002019	Breviolum95268	K00167
OG0000313	Breviolum323248	K04079
OG0000191	Breviolum95889	K21867
OG0004151	Breviolum43089	K15272
OG0000181	Breviolum49915	K07151
OG0004718	Breviolum394296	K20280
OG0000320	Breviolum34796	K13126
OG0006927	Breviolum205695	K13207
OG0001905	Breviolum69158	K03372
OG0000478	Breviolum228963	K10408
OG0002327	Breviolum389640	K08776
OG0000484	Breviolum265968	K04842
OG0005555	Breviolum2252	K13126
OG0001939	Breviolum89757	K19801
OG0000031	Breviolum389587	K06180
OG0000763	Breviolum305067	K14379
OG0003450	Breviolum343532	K04718
OG0004011	Breviolum227794	K19753
OG0004220	Breviolum81766	K00993
OG0007115	Breviolum99708	K26006
OG0000536	Breviolum33197	K14755
OG0003602	Breviolum7928	K03434
OG0002861	Breviolum53075	K03869
OG0006128	Breviolum63136	K07766
OG0000242	Breviolum393117	K18050
OG0004038	Breviolum53633	K24123
OG0006867	Breviolum62808	K07747
OG0006053	Breviolum51437	K19730
OG0003968	Breviolum50463	K03231
OG0000113	Breviolum98346	K04688
OG0005720	Breviolum28704	K03648
OG0000979	Breviolum345835	K19760
OG0006977	Breviolum390492	K06195
OG0004634	Breviolum33582	K01719
OG0003421	Breviolum392316	K08794
OG0000091	Breviolum74590	K13420
OG0004518	Breviolum396692	K10418
OG0003550	Breviolum81466	K03798
OG0000412	Breviolum227900	K03231
OG0000580	Breviolum267604	K10380
OG0005436	Breviolum33110	K06974
OG0007480	Breviolum308531	K11253
OG0003679	Breviolum173249	K03522
OG0000395	Breviolum93268	K13412
OG0001274	Breviolum207326	K05841
OG0004001	Breviolum269070	K00759
OG0000286	Breviolum287367	K02953
OG0000012	Breviolum315217	K04043
OG0005332	Breviolum304131	K00033
OG0002602	Breviolum343882	K18468
OG0001547	Breviolum347911	K01230
OG0001484	Breviolum62999	K03215
OG0000084	Breviolum289612	K13025
OG0004514	Breviolum63039	K09515
OG0006026	Breviolum85034	K03325
OG0002564	Breviolum63557	K13126
OG0000843	Breviolum62899	K16302
OG0007064	Breviolum385815	K12580
OG0001461	Breviolum74559	K20872
OG0001247	Breviolum57224	K01139
OG0002178	Breviolum268013	K06974
OG0005296	Breviolum45505	K11172
OG0002404	Breviolum54549	K13525
OG0002224	Breviolum32764	K06130
OG0001072	Breviolum364627	K02905
OG0006063	Breviolum32632	K01115
OG0003886	Breviolum24818	K14442
OG0000190	Breviolum275472	K14819
OG0006559	Breviolum76674	K11099
OG0006190	Breviolum167718	K06981
OG0001763	Breviolum69290	K00413
OG0003918	Breviolum74564	K14439
OG0001943	Breviolum55779	K03362
OG0004025	Breviolum26469	K21813
OG0001159	Breviolum63281	K10770
OG0001313	Breviolum51439	K12118
OG0004940	Breviolum171315	K12385
OG0005057	Breviolum273532	K05736
OG0004062	Breviolum79727	K24926
OG0000172	Breviolum172009	K21734
OG0000426	Breviolum51544	K00476
OG0006151	Breviolum24605	K13110
OG0000772	Breviolum209342	K18059
OG0000000	Breviolum54129	K17710
OG0000095	Breviolum27564	K02183
OG0007729	Breviolum50745	K06178
OG0000156	Breviolum303772	K10407
OG0000021	Breviolum308853	K22763
OG0000210	Breviolum384577	K14297
OG0003232	Breviolum34710	K00545
OG0000467	Breviolum167065	K13275
OG0002688	Breviolum171519	K02110
OG0007118	Breviolum17270	K02537
OG0001409	Breviolum40573	K10956
OG0005495	Breviolum205919	K10357
OG0003409	Breviolum303881	K15296
OG0000764	Breviolum81749	K09884
OG0000413	Breviolum390358	K15377
OG0000325	Breviolum89754	K08139
OG0003966	Breviolum37378	K06180
OG0002867	Breviolum226373	K10380
OG0007395	Breviolum27563	K16603
OG0000429	Breviolum74610	K03281
OG0006416	Breviolum307792	K10707
OG0005366	Breviolum81518	K09459
OG0002396	Breviolum372719	K01952
OG0000869	Breviolum4244	K06119
OG0005054	Breviolum230641	K09531
OG0000803	Breviolum68872	K17506
OG0006526	Breviolum347361	K10772
OG0002032	Breviolum308524	K13412
OG0001730	Breviolum384404	K02219
OG0006268	Breviolum344958	K03800
OG0003488	Breviolum272531	K00806
OG0002946	Breviolum356837	K00101
OG0001214	Breviolum24884	K01897
OG0005034	Breviolum2269	K13412
OG0001934	Breviolum307067	K14944
OG0000674	Breviolum265156	K00508
OG0000880	Breviolum186320	K13679
OG0000085	Breviolum50561	K17943
OG0001024	Breviolum213372	K02977
OG0001167	Breviolum51286	K02951
OG0005590	Breviolum345075	K20362
OG0002306	Breviolum207639	K10380
OG0002852	Breviolum68469	K03083
OG0004889	Breviolum6398	K19755
OG0000453	Breviolum253306	K01637
OG0000740	Breviolum51919	K21804
OG0005578	Breviolum324113	K15115
OG0001935	Breviolum383649	K13566
OG0002862	Breviolum76296	K11974
OG0002352	Breviolum57091	K05516
OG0001761	Breviolum177506	K02147
OG0006768	Breviolum306894	K03250
OG0000094	Breviolum248501	K03234
OG0006082	Breviolum82700	K11165
OG0001840	Breviolum44848	K23490
OG0004814	Breviolum54416	K18798
OG0001197	Breviolum268576	K11166
OG0001732	Breviolum253341	K00012
OG0000928	Breviolum68606	K03798
OG0000797	Breviolum32189	K06158
OG0001734	Breviolum2261	K03686
OG0006283	Breviolum33833	K02518
OG0005728	Breviolum234344	K24652
OG0000201	Breviolum96102	K04955
OG0006957	Breviolum97405	K01702
OG0003319	Breviolum81838	K03859
OG0005161	Breviolum28943	K01259
OG0000011	Breviolum71045	K08857
OG0000292	Breviolum6759	K03762
OG0007203	Breviolum7208	K10842
OG0005117	Breviolum22172	K11843
OG0002989	Breviolum385051	K07562
OG0000132	Breviolum175370	K01673
OG0001546	Breviolum348238	K02873
OG0003587	Breviolum175425	K25552
OG0001523	Breviolum99514	K21953
OG0004537	Breviolum68817	K01262
OG0001809	Breviolum175751	K02183
OG0002544	Breviolum346441	K12323
OG0001916	Breviolum44620	K19306
OG0000354	Breviolum8042	K19704
OG0007624	Breviolum195907	K09602
OG0001474	Breviolum389196	K14831
OG0006197	Breviolum51181	K04368
OG0001802	Breviolum6969	K14209
OG0000021	Breviolum2318	K22763
OG0000459	Breviolum99291	K04854
OG0004047	Breviolum78489	K13806
OG0007481	Breviolum389231	K09602
OG0006534	Breviolum89386	K07556
OG0000053	Breviolum96916	K08960
OG0004020	Breviolum48129	K02965
OG0003552	Breviolum70831	K14674
OG0003411	Breviolum39331	K05794
OG0003803	Breviolum48670	K01756
OG0001742	Breviolum264881	K00108
OG0001618	Breviolum56216	K01875
OG0003885	Breviolum71158	K19041
OG0006120	Breviolum97486	K16675
OG0004952	Breviolum83365	K08857
OG0004115	Breviolum50818	K25896
OG0003448	Breviolum94701	K14301
OG0003186	Breviolum20786	K05857
OG0000847	Breviolum182504	K17285
OG0000086	Breviolum165749	K10357
OG0007125	Breviolum306445	K09828
OG0003159	Breviolum312615	K23164
OG0005557	Breviolum229108	K22857
OG0002579	Breviolum85519	K15202
OG0005158	Breviolum172808	K00471
OG0004749	Breviolum62888	K15866
OG0002665	Breviolum267133	K08151
OG0000082	Breviolum51066	K25230
OG0000608	Breviolum72910	K03798
OG0005116	Breviolum70611	K05592
OG0002182	Breviolum90790	K19225
OG0001170	Breviolum6404	K07560
OG0001222	Breviolum39672	K18670
OG0000554	Breviolum19159	K19219
OG0007255	Breviolum386242	K01487
OG0000948	Breviolum3104	K02945
OG0000467	Breviolum95049	K14645
OG0002488	Breviolum82531	K22763
OG0000207	Breviolum82199	K12492
OG0005582	Breviolum275650	K17609
OG0001226	Breviolum384087	K05794
OG0000068	Breviolum233742	K25900
OG0002150	Breviolum178085	K02716
OG0001154	Breviolum208196	K12447
OG0001423	Breviolum272835	K02868
OG0002546	Breviolum17269	K00003
OG0002175	Breviolum205628	K12734
OG0000171	Breviolum6925	K01188
OG0006877	Breviolum98955	K15015
OG0004606	Breviolum72992	K20032
OG0002615	Breviolum344471	K04515
OG0000031	Breviolum27727	K06180
OG0002832	Breviolum97852	K00223
OG0000145	Breviolum32881	K01076
OG0003598	Breviolum165852	K03046
OG0007318	Breviolum306318	K10770
OG0000212	Breviolum178263	K00706
OG0000243	Breviolum32563	K00472
OG0001493	Breviolum33745	K06694
OG0004910	Breviolum19832	K11823
OG0003575	Breviolum310298	K17545
OG0007188	Breviolum25987	K01772
OG0004282	Breviolum95897	K03798
OG0006292	Breviolum233222	K03013
OG0001303	Breviolum7594	K06944
OG0000277	Breviolum274382	K07874
OG0002754	Breviolum2836	K04771
OG0000770	Breviolum4840	K20003
OG0000135	Breviolum31538	K10380
OG0000277	Breviolum53452	K07874
OG0007472	Breviolum64061	K06173
OG0003766	Breviolum74028	K01581
OG0001351	Breviolum302982	K00476
OG0003536	Breviolum31482	K05330
OG0000901	Breviolum30375	K03929
OG0000156	Breviolum318070	K10407
OG0005725	Breviolum306201	K02870
OG0005414	Breviolum94750	K19603
OG0001428	Breviolum70099	K11279
OG0002554	Breviolum62415	K01802
OG0005805	Breviolum58409	K21198
OG0004221	Breviolum94273	K00700
OG0000094	Breviolum394498	K03234
OG0000184	Breviolum260894	K02183
